RecordDate,Max. CovidPositives
9/3/2022,11126317
9/30/2020,821473
9/30/2021,4741827
9/30/2022,11269808
9/4/2020,733227
9/4/2021,4516095
9/4/2022,11126549
9/5/2020,738059
9/5/2021,4524560
9/5/2022,11144297
9/6/2020,741080
9/6/2021,4531818
9/6/2022,11150546
9/7/2020,743648
9/7/2021,4543100
9/7/2022,11152819
9/8/2020,745445
9/8/2021,4551861
9/8/2022,11163939
9/9/2020,748875
9/9/2021,4559756
9/9/2022,11168422
